Age,Provisional Licences Male,Provisional Licences Female,Provisional Total,Full Licences Male,Full Licences Female,Full Licences Total,All kind total,All kind male,All kind female
15,548,108,656,0,0,0,1312,548,108
16,30726,13828,44554,1122,67,1189,91486,31848,13895
17,166283,157829,324112,34402,25649,60051,768326,200685,183478
18,163523,157765,321288,113662,99944,213606,1069788,277185,257709
19,149652,144062,293714,152352,138955,291307,1170042,302004,283017
20,140230,134353,274583,182828,169043,351871,1252908,323058,303396
21,133030,126769,259799,205329,189546,394875,1309348,338359,316315
22,124487,119624,244111,231281,212598,443879,1375980,355768,332222
23,115906,111554,227460,252829,229507,482336,1419592,368735,341061
24,109699,106618,216317,271312,245660,516972,1466578,381011,352278
25,102172,100132,202304,278387,249783,528170,1460948,380559,349915
26,98411,98375,196786,292598,262927,555525,1504622,391009,361302
27,93432,93413,186845,297833,267564,565397,1504484,391265,360977
28,88751,89773,178524,302931,270292,573223,1503494,391682,360065
29,86128,88004,174132,312221,278375,590596,1529456,398349,366379
30,81182,85143,166325,316262,281298,597560,1527770,397444,366441
31,78113,81939,160052,323375,286407,609782,1539668,401488,368346
32,76872,81312,158184,330944,294417,625361,1567090,407816,375729
33,74981,81206,156187,340639,302986,643625,1599624,415620,384192
34,75617,82647,158264,356549,317870,674419,1665366,432166,400517
35,70845,77697,148542,354841,314119,668960,1635004,425686,391816
36,64943,72577,137520,341999,301347,643346,1561732,406942,373924
37,59463,68191,127654,332890,292293,625183,1505674,392353,360484
38,58478,68633,127111,343776,300936,644712,1543646,402254,369569
39,57903,68345,126248,351419,307541,658960,1570416,409322,375886
40,56663,69016,125679,368699,323786,692485,1636328,425362,392802
41,55501,68857,124358,384327,337091,721418,1691552,439828,405948
42,57262,71520,128782,406420,358123,764543,1786650,463682,429643
43,56770,73164,129934,428993,380647,809640,1879148,485763,453811
44,59476,74789,134265,432285,380771,813056,1894642,491761,455560
45,58222,74374,132596,434620,383677,818297,1901786,492842,458051
46,59181,76974,136155,444154,390665,834819,1941948,503335,467639
47,57724,75999,133723,448097,393077,841174,1949794,505821,469076
48,56718,76597,133315,453877,395710,849587,1965804,510595,472307
49,55417,75726,131143,460768,401259,862027,1986340,516185,476985
50,52785,74509,127294,465254,402096,867350,1989288,518039,476605
51,48005,70761,118766,452223,389702,841925,1921382,500228,460463
52,45806,68497,114303,444796,377920,822716,1874038,490602,446417
53,40544,63585,104129,429652,362369,792021,1792300,470196,425954
54,41715,61960,103675,421322,353410,774732,1756814,463037,415370
55,35790,56701,92491,400960,335066,736026,1657034,436750,391767
56,34073,54221,88294,394874,330829,725703,1627994,428947,385050
57,30980,51577,82557,383318,318600,701918,1568950,414298,370177
58,28754,49207,77961,368880,306281,675161,1506244,397634,355488
59,26292,45223,71515,352076,291759,643835,1430700,378368,336982
60,24689,44446,69135,349667,288874,638541,1415352,374356,333320
61,22377,42513,64890,349225,287668,636893,1403566,371602,330181
62,21516,41408,62924,341899,281545,623444,1372736,363415,322953
63,18662,38866,57528,336862,274256,611118,1337292,355524,313122
64,19545,39760,59305,341279,275685,616964,1352538,360824,315445
65,17435,39522,56957,350306,282516,632822,1379558,367741,322038
66,17196,40193,57389,365340,290905,656245,1427268,382536,331098
67,17091,42699,59790,401700,317556,719256,1558092,418791,360255
68,15200,38783,53983,364813,285151,649964,1407894,380013,323934
69,12612,31983,44595,294322,227501,521823,1132836,306934,259484
70,912,1001,1913,254656,198632,453288,910402,255568,199633
71,857,887,1744,231284,176994,408278,820044,232141,177881
72,873,840,1713,214897,162202,377099,757624,215770,163042
73,586,468,1054,175613,130061,305674,613456,176199,130529
74,578,436,1014,175168,127446,302614,607256,175746,127882
75,549,429,978,176712,127815,304527,611010,177261,128244
76,418,290,708,163806,114072,277878,557172,164224,114362
77,339,265,604,154551,105500,260051,521310,154890,105765
78,291,251,542,146531,99649,246180,493444,146822,99900
79,203,150,353,125450,81537,206987,414680,125653,81687
80,177,132,309,118403,76190,194593,389804,118580,76322
81,140,97,237,106206,68296,174502,349478,106346,68393
82,93,87,180,90913,54232,145145,290650,91006,54319
83,82,67,149,83517,49366,132883,266064,83599,49433
84,74,52,126,77627,46164,123791,247834,77701,46216
85,58,32,90,56334,30811,87145,174470,56392,30843
86,35,37,72,50182,26954,77136,154416,50217,26991
87,28,14,42,43050,23067,66117,132318,43078,23081
88,22,17,39,29428,14172,43600,87278,29450,14189
89,18,4,22,24649,11748,36397,72838,24667,11752
90,10,6,16,20628,10212,30840,61712,20638,10218
91,8,2,10,11114,4911,16025,32070,11122,4913
92,4,4,8,9074,3828,12902,25820,9078,3832
93,4,5,9,7889,3417,11306,22630,7893,3422
94,2,1,3,3604,1490,5094,10194,3606,1491
95,2,0,2,2113,824,2937,5878,2115,824
96,2,0,2,1405,579,1984,3972,1407,579
97,0,0,0,448,169,617,1234,448,169
98,1,0,1,364,126,490,982,365,126
99,0,0,0,311,79,390,780,311,79
100,0,1,1,65,29,94,190,65,30
101,0,0,0,55,15,70,140,55,15
102,0,0,0,28,17,45,90,28,17
103,0,0,0,9,2,11,22,9,2
104,0,0,0,3,1,4,8,3,1
105,0,0,0,1,1,2,4,1,1
