Date,Accidents
05/11/2015,535
02/10/2015,524
04/12/2015,520
13/11/2015,513
01/10/2015,510
03/07/2015,509
11/09/2015,507
13/01/2015,504
06/10/2015,503
30/06/2015,499
23/01/2015,496
15/12/2015,495
06/11/2015,495
11/06/2015,493
27/11/2015,492
11/12/2015,491
12/11/2015,491
16/01/2015,491
10/12/2015,490
21/10/2015,490
14/01/2015,489
30/09/2015,488
13/07/2015,483
05/10/2015,480
04/11/2015,480
13/05/2015,476
30/11/2015,473
29/01/2015,473
25/09/2015,472
01/07/2015,471
30/01/2015,469
17/07/2015,468
10/09/2015,467
02/07/2015,467
09/12/2015,466
09/10/2015,466
18/11/2015,465
14/10/2015,465
20/11/2015,465
04/06/2015,464
10/03/2015,463
24/07/2015,463
07/07/2015,463
26/06/2015,462
03/12/2015,459
09/01/2015,459
21/09/2015,459
17/02/2015,459
08/01/2015,458
16/12/2015,458
09/07/2015,455
24/09/2015,452
10/07/2015,452
14/09/2015,452
28/09/2015,451
06/02/2015,451
31/07/2015,448
10/06/2015,448
05/06/2015,446
07/10/2015,446
14/08/2015,445
15/09/2015,445
29/10/2015,444
17/09/2015,444
28/08/2015,443
30/10/2015,443
23/09/2015,443
09/02/2015,442
15/05/2015,441
20/05/2015,441
29/09/2015,441
26/11/2015,441
28/04/2015,439
01/12/2015,438
22/04/2015,438
20/01/2015,438
14/05/2015,437
16/09/2015,437
23/04/2015,437
07/12/2015,436
08/12/2015,435
27/02/2015,435
24/04/2015,435
21/07/2015,434
14/12/2015,434
19/05/2015,434
02/12/2015,434
12/05/2015,433
18/05/2015,431
12/06/2015,431
20/10/2015,431
25/11/2015,430
25/06/2015,430
25/07/2015,430
13/02/2015,430
08/10/2015,429
04/03/2015,429
04/02/2015,429
22/09/2015,429
23/12/2015,428
08/06/2015,427
15/07/2015,427
29/06/2015,427
03/03/2015,426
18/09/2015,425
18/12/2015,425
24/11/2015,424
28/01/2015,424
20/04/2015,424
06/01/2015,424
17/11/2015,423
07/08/2015,423
07/05/2015,421
19/06/2015,421
23/06/2015,421
23/11/2015,421
14/04/2015,420
03/06/2015,420
25/03/2015,420
22/06/2015,418
08/05/2015,418
10/11/2015,418
02/03/2015,416
25/08/2015,415
19/08/2015,415
28/10/2015,415
03/02/2015,414
28/11/2015,413
21/04/2015,412
17/12/2015,412
08/07/2015,412
21/05/2015,412
29/04/2015,411
30/04/2015,411
02/09/2015,411
21/12/2015,410
20/07/2015,410
24/02/2015,410
27/04/2015,410
19/11/2015,410
05/05/2015,409
09/06/2015,409
17/04/2015,409
06/07/2015,409
26/08/2015,407
18/02/2015,406
11/11/2015,406
18/06/2015,405
06/03/2015,404
22/12/2015,403
13/10/2015,402
12/01/2015,402
24/03/2015,401
27/03/2015,401
24/08/2015,401
11/07/2015,401
06/05/2015,401
15/04/2015,401
06/08/2015,401
12/09/2015,400
02/06/2015,400
12/10/2015,399
03/11/2015,399
21/11/2015,398
01/05/2015,398
15/10/2015,398
13/03/2015,397
26/01/2015,397
10/04/2015,397
09/11/2015,396
07/09/2015,396
16/07/2015,396
26/10/2015,396
15/01/2015,396
19/01/2015,395
27/01/2015,395
24/01/2015,394
17/06/2015,394
07/11/2015,393
24/06/2015,391
04/07/2015,391
16/10/2015,391
27/07/2015,391
11/08/2015,389
19/09/2015,389
16/04/2015,389
23/02/2015,388
22/05/2015,388
23/10/2015,388
05/02/2015,388
08/08/2015,386
21/08/2015,386
20/03/2015,385
22/10/2015,384
16/06/2015,383
22/01/2015,383
10/02/2015,383
26/03/2015,382
01/06/2015,382
12/08/2015,381
29/07/2015,381
06/06/2015,381
16/11/2015,380
22/08/2015,379
13/06/2015,378
30/07/2015,378
16/05/2015,378
27/08/2015,377
22/07/2015,377
23/07/2015,377
21/01/2015,376
31/03/2015,376
14/11/2015,375
04/08/2015,375
02/02/2015,373
20/02/2015,373
11/02/2015,372
18/07/2015,372
15/06/2015,371
27/09/2015,370
20/08/2015,370
29/05/2015,370
27/10/2015,370
04/09/2015,369
19/02/2015,369
17/01/2015,369
26/09/2015,369
12/12/2015,368
07/06/2015,368
23/03/2015,366
18/08/2015,365
14/07/2015,365
31/10/2015,364
02/11/2015,364
13/08/2015,364
01/08/2015,364
27/06/2015,364
11/05/2015,364
19/10/2015,363
08/09/2015,362
12/03/2015,362
28/05/2015,361
05/03/2015,360
07/03/2015,360
15/08/2015,359
26/07/2015,359
12/07/2015,359
28/07/2015,359
25/04/2015,358
17/03/2015,358
24/10/2015,357
02/08/2015,357
07/01/2015,355
02/04/2015,354
11/03/2015,352
06/04/2015,352
05/08/2015,351
01/09/2015,351
26/05/2015,350
03/08/2015,350
09/08/2015,350
18/03/2015,349
01/11/2015,348
27/05/2015,348
21/02/2015,347
18/04/2015,347
02/05/2015,346
09/09/2015,345
09/04/2015,345
16/02/2015,344
19/12/2015,344
07/02/2015,344
12/02/2015,342
05/07/2015,341
29/08/2015,341
26/02/2015,340
23/08/2015,340
03/10/2015,339
30/03/2015,336
09/03/2015,336
23/05/2015,336
11/04/2015,335
25/02/2015,335
31/01/2015,334
30/05/2015,334
07/04/2015,334
08/04/2015,334
20/06/2015,333
10/08/2015,333
01/04/2015,332
05/09/2015,332
17/08/2015,330
16/03/2015,329
28/02/2015,327
13/09/2015,326
06/09/2015,325
05/12/2015,325
03/09/2015,324
04/10/2015,324
19/07/2015,323
31/12/2015,323
20/09/2015,320
08/02/2015,319
24/12/2015,319
28/03/2015,317
04/05/2015,317
14/02/2015,317
08/03/2015,316
09/05/2015,315
19/03/2015,315
26/04/2015,313
17/05/2015,312
21/03/2015,311
10/10/2015,309
13/04/2015,306
11/10/2015,306
25/10/2015,305
28/06/2015,304
03/04/2015,303
31/08/2015,303
29/11/2015,302
29/12/2015,301
03/05/2015,301
17/10/2015,300
21/06/2015,300
08/11/2015,298
05/01/2015,296
20/12/2015,296
06/12/2015,293
16/08/2015,292
14/06/2015,288
13/12/2015,285
10/01/2015,279
30/08/2015,278
18/01/2015,278
04/04/2015,278
31/05/2015,277
24/05/2015,274
30/12/2015,270
18/10/2015,268
22/11/2015,266
15/11/2015,264
14/03/2015,263
22/03/2015,262
22/02/2015,262
25/05/2015,261
02/01/2015,261
27/12/2015,259
10/05/2015,257
12/04/2015,254
15/03/2015,252
15/02/2015,252
19/04/2015,251
01/03/2015,250
25/01/2015,248
29/03/2015,245
05/04/2015,245
03/01/2015,240
01/01/2015,235
01/02/2015,233
26/12/2015,231
11/01/2015,229
04/01/2015,214
28/12/2015,202
25/12/2015,180
