age_band,sex,vehicle_age,engine_capacity,score
 4, 1,  0,  0, 45.0000000000
 4, 1,  0,  1, 45.0000000000
 4, 1,  0,  2, 45.0000000000
 4, 1,  0,  3, 45.0000000000
 4, 1,  0,  4, 45.0000000000
 4, 1,  0,  5, 45.0000000000
 4, 1,  0,  6, 45.0000000000
 4, 1,  0,  7, 45.0000000000
 4, 1,  0,  8, 45.0000000000
 4, 1,  1,  0, 45.0000000000
 4, 1,  1,  1, 45.0000000000
 4, 1,  1,  2, 45.0000000000
 4, 1,  1,  3, 45.0000000000
 4, 1,  1,  4, 45.0000000000
 4, 1,  1,  5, 45.0000000000
 4, 1,  1,  6, 45.0000000000
 4, 1,  1,  7, 78.0000000000
 4, 1,  1,  8, 78.0000000000
 4, 1,  2,  0, 45.0000000000
 4, 1,  2,  1, 45.0000000000
 4, 1,  2,  2, 45.0000000000
 4, 1,  2,  3, 45.0000000000
 4, 1,  2,  4, 45.0000000000
 4, 1,  2,  5, 45.0000000000
 4, 1,  2,  6, 45.0000000000
 4, 1,  2,  7, 45.0000000000
 4, 1,  2,  8, 45.0000000000
 4, 1,  3,  0, 45.0000000000
 4, 1,  3,  1, 45.0000000000
 4, 1,  3,  2, 45.0000000000
 4, 1,  3,  3, 45.0000000000
 4, 1,  3,  4, 45.0000000000
 4, 1,  3,  5, 45.0000000000
 4, 1,  3,  6, 45.0000000000
 4, 1,  3,  7, 45.0000000000
 4, 1,  3,  8, 45.0000000000
 4, 1,  4,  0, 45.0000000000
 4, 1,  4,  1, 45.0000000000
 4, 1,  4,  2, 45.0000000000
 4, 1,  4,  3, 45.0000000000
 4, 1,  4,  4, 45.0000000000
 4, 1,  4,  5, 45.0000000000
 4, 1,  4,  6, 45.0000000000
 4, 1,  4,  7, 45.0000000000
 4, 1,  4,  8, 45.0000000000
 4, 1,  5,  0, 45.0000000000
 4, 1,  5,  1, 45.0000000000
 4, 1,  5,  2, 45.0000000000
 4, 1,  5,  3, 45.0000000000
 4, 1,  5,  4, 45.0000000000
 4, 1,  5,  5, 45.0000000000
 4, 1,  5,  6, 45.0000000000
 4, 1,  5,  7, 45.0000000000
 4, 1,  5,  8, 53.0000000000
 4, 1,  6,  0, 45.0000000000
 4, 1,  6,  1, 45.0000000000
 4, 1,  6,  2, 45.0000000000
 4, 1,  6,  3, 45.0000000000
 4, 1,  6,  4, 45.0000000000
 4, 1,  6,  5, 45.0000000000
 4, 1,  6,  6, 45.0000000000
 4, 1,  6,  7, 45.0000000000
 4, 1,  6,  8, 53.0000000000
 4, 1,  7,  0, 45.0000000000
 4, 1,  7,  1, 45.0000000000
 4, 1,  7,  2, 45.0000000000
 4, 1,  7,  3, 45.0000000000
 4, 1,  7,  4, 45.0000000000
 4, 1,  7,  5, 45.0000000000
 4, 1,  7,  6, 45.0000000000
 4, 1,  7,  7, 45.0000000000
 4, 1,  7,  8, 53.0000000000
 4, 1,  8,  0, 45.0000000000
 4, 1,  8,  1, 45.0000000000
 4, 1,  8,  2, 45.0000000000
 4, 1,  8,  3, 45.0000000000
 4, 1,  8,  4, 45.0000000000
 4, 1,  8,  5, 45.0000000000
 4, 1,  8,  6, 45.0000000000
 4, 1,  8,  7, 45.0000000000
 4, 1,  8,  8, 53.0000000000
 4, 1,  9,  0, 45.0000000000
 4, 1,  9,  1, 45.0000000000
 4, 1,  9,  2, 45.0000000000
 4, 1,  9,  3, 70.0000000000
 4, 1,  9,  4, 45.0000000000
 4, 1,  9,  5, 45.0000000000
 4, 1,  9,  6, 53.0000000000
 4, 1,  9,  7, 53.0000000000
 4, 1,  9,  8, 53.0000000000
 4, 2,  0,  0, 31.0000000000
 4, 2,  0,  1, 31.0000000000
 4, 2,  0,  2, 31.0000000000
 4, 2,  0,  3, 31.0000000000
 4, 2,  0,  4, 31.0000000000
 4, 2,  0,  5, 31.0000000000
 4, 2,  0,  6, 31.0000000000
 4, 2,  0,  7, 31.0000000000
 4, 2,  0,  8, 31.0000000000
 4, 2,  1,  0, 31.0000000000
 4, 2,  1,  1, 31.0000000000
 4, 2,  1,  2, 31.0000000000
 4, 2,  1,  3, 31.0000000000
 4, 2,  1,  4, 31.0000000000
 4, 2,  1,  5, 31.0000000000
 4, 2,  1,  6, 31.0000000000
 4, 2,  1,  7, 31.0000000000
 4, 2,  1,  8, 31.0000000000
 4, 2,  2,  0, 31.0000000000
 4, 2,  2,  1, 31.0000000000
 4, 2,  2,  2, 31.0000000000
 4, 2,  2,  3, 31.0000000000
 4, 2,  2,  4, 31.0000000000
 4, 2,  2,  5, 31.0000000000
 4, 2,  2,  6, 31.0000000000
 4, 2,  2,  7, 31.0000000000
 4, 2,  2,  8, 31.0000000000
 4, 2,  3,  0, 31.0000000000
 4, 2,  3,  1, 31.0000000000
 4, 2,  3,  2, 31.0000000000
 4, 2,  3,  3, 31.0000000000
 4, 2,  3,  4, 31.0000000000
 4, 2,  3,  5, 31.0000000000
 4, 2,  3,  6, 31.0000000000
 4, 2,  3,  7, 31.0000000000
 4, 2,  3,  8, 31.0000000000
 4, 2,  4,  0, 31.0000000000
 4, 2,  4,  1, 31.0000000000
 4, 2,  4,  2, 31.0000000000
 4, 2,  4,  3, 43.0000000000
 4, 2,  4,  4, 31.0000000000
 4, 2,  4,  5, 31.0000000000
 4, 2,  4,  6, 31.0000000000
 4, 2,  4,  7, 31.0000000000
 4, 2,  4,  8, 31.0000000000
 4, 2,  5,  0, 31.0000000000
 4, 2,  5,  1, 31.0000000000
 4, 2,  5,  2, 31.0000000000
 4, 2,  5,  3, 31.0000000000
 4, 2,  5,  4, 31.0000000000
 4, 2,  5,  5, 31.0000000000
 4, 2,  5,  6, 31.0000000000
 4, 2,  5,  7, 31.0000000000
 4, 2,  5,  8, 31.0000000000
 4, 2,  6,  0, 31.0000000000
 4, 2,  6,  1, 31.0000000000
 4, 2,  6,  2, 31.0000000000
 4, 2,  6,  3, 31.0000000000
 4, 2,  6,  4, 31.0000000000
